date,open,high,low,close
2011-07-18,100.675711,100.829318,99.562044,100.314728
2011-07-19,100.875407,102.065884,100.852367,101.942993
2011-07-20,102.204083,102.265516,101.704845,101.881493
2011-07-21,102.457581,103.548219,101.896909,103.294762
2011-07-22,103.317818,103.471425,102.734094,103.363899
2011-07-25,102.380777,103.294756,102.273251,102.787842
2011-07-26,102.718726,102.887698,102.173407,102.403824
2011-07-27,101.835453,101.866181,100.176467,100.307045
2011-07-28,100.307060,101.205674,99.853903,100.015198
2011-07-29,99.009071,100.268669,98.287104,99.331650
2011-08-01,100.491387,100.583561,97.949150,98.909210
2011-08-02,98.164195,98.694150,96.382324,96.382324
2011-08-03,96.512894,97.012121,94.876949,96.904594
2011-08-04,95.560524,95.714138,92.211835,92.365448
2011-08-05,93.517501,93.755594,89.754066,92.227180
2011-08-08,89.792486,92.257919,86.036726,86.221062
2011-08-09,87.611217,90.353147,84.692633,90.230263
2011-08-10,88.525206,89.308612,85.982963,86.244102
2011-08-11,86.989104,91.336252,86.267137,90.115059
2011-08-12,90.936869,91.558986,90.076654,90.721817
2011-08-15,91.543606,92.734076,91.397675,92.641914
2011-08-16,91.758691,92.695710,90.867753,91.850853
2011-08-17,92.357746,93.087389,91.182634,91.912277
2011-08-18,89.477579,91.943012,87.088950,87.949165
2011-08-19,86.758669,89.001367,86.405367,86.512894
2011-08-22,88.456056,88.502143,86.336249,86.582024
2011-08-23,86.904595,89.531317,86.466808,89.431473
2011-08-24,89.239498,90.813993,89.032122,90.691109
2011-08-25,91.190314,91.704905,88.993697,89.308594
2011-08-26,88.855472,91.021367,87.442261,90.606621
2011-08-29,91.827823,93.264075,90.675751,93.210312
2011-08-30,92.803215,94.032091,91.597380,93.456055
2011-08-31,94.055141,94.861594,93.164209,93.870811
2011-09-01,93.924543,94.777076,92.764790,92.887680
2011-09-02,90.952222,92.833943,90.191856,90.514435
2011-09-06,87.856974,89.984470,87.849292,89.853897
2011-09-07,91.213346,92.426857,90.906126,92.388458
2011-09-08,91.835470,92.887698,91.221030,91.428406
2011-09-09,90.383870,91.443774,88.540554,89.032104
2011-09-12,87.918459,89.677289,87.595880,89.608162
2011-09-13,89.899998,90.767890,89.262517,90.429947
2011-09-14,90.890790,92.780194,89.646557,91.681885
2011-09-15,92.664977,93.294776,91.704917,93.264053
2011-09-16,93.638478,94.163453,92.889617,93.816040
2011-09-19,92.279729,93.360560,91.654393,92.881905
2011-09-20,93.275634,94.178898,92.650299,92.773819
2011-09-21,92.820129,93.105773,89.894168,90.040848
2011-09-22,87.431436,88.172576,85.925997,87.130348
2011-09-23,86.551321,88.133967,86.481836,87.655312
2011-09-26,88.481369,89.863288,87.222976,89.739761
2011-09-27,91.507708,92.302889,90.202990,90.743408
2011-09-28,90.928661,91.476796,88.759284,88.890526
2011-09-29,90.365115,90.812883,87.956406,89.593094
2011-09-30,88.357865,89.129886,87.292477,87.354240
2011-10-03,86.844705,87.971856,84.775687,84.868332
2011-10-04,83.648533,86.914187,82.938274,86.728897
2011-10-05,86.945051,88.566295,86.142148,88.334686
2011-10-06,88.288396,90.064048,87.632179,89.932800
2011-10-07,90.457724,90.519487,88.828759,89.330574
2011-10-10,90.851494,92.356934,90.843773,92.318336
2011-10-11,91.770184,92.673448,91.677539,92.410957
2011-10-12,93.105769,94.294682,92.897325,93.221573
2011-10-13,92.673480,93.314259,91.963222,93.036331
2011-10-14,94.117109,94.649800,93.592135,94.626640
2011-10-17,94.178906,94.611242,92.588543,92.820152
2011-10-18,92.750672,95.344665,92.024970,94.634407
2011-10-19,94.479965,95.020383,93.190691,93.514938
2011-10-20,93.746581,94.263834,92.503626,93.924149
2011-10-21,95.028091,95.823278,94.742447,95.707474
2011-10-24,95.861906,97.120304,95.776983,96.880974
2011-10-25,96.417755,96.464074,94.788789,94.997238
2011-10-26,96.000855,96.325102,94.348730,95.962257
2011-10-27,98.533118,99.915037,97.745658,99.305145
2011-10-28,98.818742,99.474965,98.664340,99.281960
2011-10-31,98.170261,99.297406,96.749738,96.888702
2011-11-01,94.209767,95.352361,93.816035,94.186607
2011-11-02,95.599395,96.039447,94.796492,95.722916
2011-11-03,96.711121,97.660710,95.421847,97.467705
2011-11-04,96.680232,97.043077,95.738365,96.873238
2011-11-07,96.803750,97.575771,95.885043,97.475410
